tx_id,nric,transaction,charity,message,hashed
TX 021,S0000045Z,445932,190655100R,,9ec77ddbd33a72338d9108fd2792452696136179ccd3838532d1800043cfe2e8
TX 022,S0000049Z,16487,251252573E,,aca3ac2c265f78a501461484eb748b7406f1e171da4822a0b5d692bde8dd0412
TX 023,S0000002Z,119220,49802055K,,1cb75a1e1c449734eaf0c9a73ecc592342ea2621f977eb6fd15b59cb688f29d5
TX 024,S0000026Z,913474,03291869W,another one,968230fed2469b4fddc0cf7a3e901e125afe4b33f32e84b3e9fcde49e0e33789
TX 025,S0000018Z,479545,32610955B,,0d610595883935c1360c9deb1dc68a453661090ee93b8aa0acaab26352c32197
TX 026,S0000018Z,701408,02802712J,,d9393f4349bd96ebf83213f23061225196b8d68ef7c35670b709245237f95c38
TX 027,S0000014Z,616336,01326755W,another one,fe3d738846732fc180216aee8ca469fb653563be7569ed2ff19b0a0cb2a9a8dc
TX 028,S0000003Z,9452,251323312W,,579995abd6e6649fa2bcc9e5d4d4c76b2f138a0eed746c248aaf2d5498ba7149
TX 029,S0000023Z,458578,197755707Z,,19b80690d674df7ea65717115cf6726791649f9fcd55f4043065e5d151a6ea31
TX 030,S0000028Z,994477,199455588G,,6b1db7425be580d60816767c8ca1ade1d04330e34f460438516b4901cda2abc7
TX 031,S0000049Z,262974,251055173W,how is this,044b2f276dc80ed0e40dbfc17a773950f6f949d77a55473a4a476517ebd720f0
TX 032,S0000043Z,302265,02932444W,,62c3d9511c3931ff28175701a014d9632cc92c162a60c0c4459d8ba2dc37222b
TX 033,S0000036Z,869493,01326755W,,a0e2882aee0fb8e181ecac216c9f0a8efc2bbd36f67a4a9645d87b0e16059dbe
TX 034,S0000022Z,986105,54941755B,,c4f7fd9f4842f3701e38f5dbf2c3ae356d599908c92cae92d6cbac704f0ba806
TX 035,S0000016Z,878097,199252597N,how is this,86f328b225c764080fa1c62823d3ebbc501761ce05edaacf6b363b12e973924d
TX 036,S0000046Z,674445,03328428K,how is this,f3fce31b520ce6cc7c3e70154ad181bac0bf6bd45dae7a1d3c2b318409ab5eb5
TX 037,S0000005Z,690088,02934765A,another one,b190cdfbafa2c613b65ea1f00c5cb290d3eaff0b6b4a9e354d543d3808b24267
TX 038,S0000046Z,353268,251323312W,another one,2cbb8b37d472cb892401bc15d90ecc8b6f6684d902ac6a767587a78d5e669b57
TX 039,S0000006Z,67105,33071755D,,4b1b858e34069d4ae109dfb18cba45761f5ea7809e20746d7a7ffa01735704a6
TX 040,S0000020Z,379382,251323312W,,cd003f73acbc1148aa09c6b4d6ab6c64dc18807d65fab4635d74b1e8d178c24e
TX 041,S0000030Z,148510,03260383A,how is this,9a3eab041dcb2a39925d718965ffafebda347aa0b11b00e94969017ee37f7c38
TX 042,S0000049Z,673015,03312135B,how is this,16dfe6bb1793598b80a295ed35133e926ec694927f8233990c1d93486044c092
TX 043,S0000024Z,357628,03312135B,another one,c6062641f3b7cff8d6d65e265af67a056fc197524f91b13399d1e5872f2f4837
TX 044,S0000026Z,843374,03558932K,another one,4676ddd5f80f67b8a7476ebf2872e419e7933807e262e37addd6b40272818bbd
TX 045,S0000009Z,466883,02991308E,another one,2d0b189b108e86ad6c54a2d31dbb268c1d913313deff9cd134fc5180a8f77abd
TX 046,S0000048Z,555230,01897655M,how is this,029435f43eea6d68ad2a65aaf5092212d1424e247c0ac5d8c888623e5376b375
TX 047,S0000025Z,887915,251058254E,how is this,cc644f31e3b75ef0e00e7706ee948fdc3bc002cee53f0cebcc6a8222bad10ff8
TX 048,S0000049Z,856618,251718883H,how is this,2390299a6f84faa49bb6bfe767ad2ccda0a1fbca76e5b5eeaff9623ec8eebd68
TX 049,S0000002Z,830603,199252597N,how is this,d7b20398d446096d6a6f7a9b46cd8c9cf840a566fe84a49dc7d6b8afa89c4ff5
TX 050,S0000013Z,849601,03151049A,,74aba93645ac0a206e447a48f7151e9613076674dfe19d90206d0616f4e96a32
TX 051,S0000024Z,850023,251252573E,how is this,4ad90f167fc251f2152a916555d71b7e7b817929ea01da3ce55149b6dc10ae09
TX 052,S0000049Z,444887,03256174L,how is this,5623685d645f8ed2747581bd99db01997c8204c8fea7f86a484ac3eb7b68932a
TX 053,S0000015Z,286025,03256174L,how is this,8eea6f4fe2647c814d95b361c59a4e79dfd86719b27ef6d4de19ed5157fa037d
TX 054,S0000048Z,567831,03321993X,another one,24e4115832deab3c8e56a088688a21edbf1c2c508b22b5ac29ac95b6d5cec8bc
TX 055,S0000043Z,190705,251041107E,another one,927c41067863af526cef005841374e1d45ba5d3291ea3c2cda122d1dd46c47d1
TX 056,S0000025Z,919235,42939155E,how is this,c4cd9cfe400f0745f9f5e501c102870a73632b34033ec200aca04d842ca91937
TX 057,S0000000Z,538400,02932444W,,e0dd39611ea771b867210bb4b3dbf31a2c0120fb153e37de09c43dc95310f339
TX 058,S0000012Z,680246,251526162K,how is this,8a9057dbddb6baf7c6a338d6008ad443abd8d4e7b86f8f18c57bed48e6f91382
TX 059,S0000019Z,321282,255813204K,another one,af53d9aa79b55111d5ed3e2bf1cab3ce2caf06f5dc9d4aa49572bd720a5e48e8
TX 060,S0000041Z,703463,33071755D,how is this,b2824f46b7621c7fac6e3b918d32c89702da5dfab8477187ef9874098c55b84f
TX 061,S0000025Z,833450,03575224W,,4997be36dd4b8287957ce05e109cb68180eefdb4b6940c136930f6de63d9afd7
TX 062,S0000004Z,260721,44636355J,how is this,0104cc2bc6fde7d84084bacff168acad25eb95d2026fe1cddffb537f7fcd92ef
TX 063,S0000000Z,281615,199455588G,how is this,bd0e1c8fdad747d69e1a211e6c0648f0efa0c530d2e80fd8686f48c63a2ce090
TX 064,S0000031Z,685235,03190098B,,2fc207edeb29058f0e9d24fcde8b2ef772fa3f587a75c2c3d3088cc421503b7c
TX 065,S0000023Z,32461,255711625K,how is this,902e59aedda49f278544dd6b536d88df4d749ed7b43e817a8a5e0195694cd071
TX 066,S0000024Z,710459,03503615B,how is this,e99a23a383836f74e876e893a267e65474679473993788d5f5a201e6cfcfe8d1
TX 067,S0000006Z,732372,255052709M,how is this,15f4f469710985204dce16d2ff08a3e14d7eb8a2fd4be231c3fafb8dfdde085c
TX 068,S0000023Z,137059,199751445N,how is this,d5e1d98fed34ef24415fcc779e0f759356d8771201aadcc4f94aebf07a0f79c9
TX 069,S0000026Z,649105,T58LL5834G,how is this,d3ed1f0bcac0f6ff7afc1645bc1e8826951fb1c6f6ff8fd1338100905b152530
TX 070,S0000048Z,835227,03558932K,another one,a45c47622570b6506721774323e48f99f9873b3367af450e3f2e4f9d0855d8e7
TX 071,S0000001Z,137221,03312135B,how is this,ca8e6de4ff1b7ed91b29b3641c03b78ec047f17d112fdeb34b6a28919a3ba923
TX 072,S0000048Z,535672,02934765A,how is this,5c54a1f9c82d2a6baf6397b02a50bbda1880167015170845a964a5fd07c2ac82
TX 073,S0000028Z,692667,255958748C,,589819c5f639d6b0f9f66314a821cb0f1a482c3b44316d8f887d91464608ff95
TX 074,S0000046Z,169791,255812206R,another one,aa62f371bbdbc29fb87d57b1aac173aaa66982bf937d47ab8bbf418481f6137d
TX 075,S0000037Z,766991,03328428K,,4dd6a5edb1e091217c17fffbf73fe06dee315c2fbdd97910c5589c6f44513a19
TX 076,S0000025Z,17378,02844776M,how is this,36ec0a451a54236d89a6204b0b11e555e92dbdfac23b17d0cc2c1151988065f4
TX 077,S0000001Z,165448,199751445N,how is this,9ee222781dcd31b39ef56fb3109b2012f6c381caa469c72deba69df080388d1f
TX 078,S0000032Z,574972,198555585Z,how is this,53b7ae60350563fad2109221a5220d3a25cd59614b56fbe6d7d55f5568a560c7
TX 079,S0000038Z,93646,03274191M,how is this,8d08d4890e14fa3e35c75016e0f34f4f93dd5b18862016752fa2dade6556e348
TX 080,S0000041Z,29753,198555585Z,how is this,735c970a08092bba6af4da7a9df87bd189eb6420d14d7ee3dc22b8e0e47f7557
TX 081,S0000026Z,837788,46281055E,another one,9005b067634ce7212b08a6abaf9652177eb4ad5dcc3ca9c0e31c6fcd62ef2fa9
TX 082,S0000008Z,972043,251656922C,how is this,785ab2ba99540b66d5fd2757f68425ad6ff1b36a2affef48388ddb55bab16e55
TX 083,S0000007Z,444760,03268218A,how is this,6c41a87bea3d5c8582befecf2f4b37164ec695cda918654db419fb1b56730243
TX 084,S0000027Z,571908,251923769W,,59c8efbf2e61139b06072b13e93e71ca62ac44df7ba11fc9a2780fa13fb74dd3
TX 085,S0000026Z,621139,03256174L,another one,ef290c2a8c1217ca3bcf20da0f0b2442d7c9e54ba1e4d1557e2883735259edcd
TX 086,S0000045Z,862805,03112086J,how is this,b34b128f56007ea4bec2ecfe13529fc9ef45510ef847bc858d889c46d89c314a
TX 087,S0000017Z,863160,255711625K,how is this,af0ffad3c2791d76250e8240e8bf6280c780f94b1ac1b2cba33a943a4cb9e912
TX 088,S0000046Z,995355,02932444W,how is this,914e788837ff822a6ade149d167f3c9f5e95bb65b628c9e952242ef97b53729b
TX 089,S0000018Z,171139,199455588G,how is this,5f66bf82aa9782b2704b530040677cc2992c3896046e8c7525daa4bcaa5b6697
TX 090,S0000021Z,572142,32396555J,another one,91252e3eb635a2519066f8953eba6fcde2e7dd933aea2b49e3fea9a826e9f562
TX 091,S0000032Z,763234,03128197C,,a2e40b020cc45364fc770ec35abe1d0795bdddc6ed79dd4066a3ed3f2ef036f2
TX 092,S0000028Z,868383,02934765A,,ba2ed2cd5487759ae65539988dd6fb0883c868c997c32fa8c78126f3ab08a370
TX 093,S0000037Z,285801,03293827E,how is this,6cdce687894e5ffb5b2f817fbf8086adb966a1dfab7f4c1d0db7821869369b41
TX 094,S0000035Z,668767,255812206R,another one,afcc7fe093ab67d90e8aaa1e2ac05ee087eb28069451ad1b799f283bde7294bc
TX 095,S0000038Z,413055,02890046B,,5791bfffb642f6bb37137bed21a26c1f96e66828fe3526f8a25680060bbbbf9a
TX 096,S0000038Z,954932,199252597N,another one,5372aaa166663b045e8d7ce6ba91a3a05823b524553245b43abfa0bd0cc4e85e
TX 097,S0000020Z,221469,251526162K,how is this,0480cc78d1204597af963059af7ad272bd6815c1334fdab8627f5c5cfcabf26d
TX 098,S0000011Z,814227,25321855X,another one,2747b1bda94fcecbd7899c5f1b59128a3e5fc73a9c239c8adafb511f425c0e08
TX 099,S0000032Z,152083,01326755W,another one,264802e1077bd5b17e994f531bc7db1e1ac9e29359d6231a1e15e2fd85988f1e
TX 100,S0000046Z,398898,255722125M,,602224e4d622f2c1f5e3785782027cea3f793cdd81c8a6f3c1eb9f2cf2c3f81b
TX 101,S0000038Z,795684,251656922C,,52eb660d4ca78fb1f614810165f99a86dc6fa45679b4545f08598ca449ea537d
TX 102,S0000013Z,946273,255813204K,,40f4192c582e23513cf8ea2a6b714da23350656abd8dc14c33e0bccea3c1022b
TX 103,S0000024Z,467893,49802055K,another one,ab26318a83d95a11cfe390db7ce4c09c3a8f628fb99ed091605c5c06f3b102d4
TX 104,S0000036Z,439519,03132389K,how is this,e2854ba5f25ebbfe89a216849916331d6d7709773b48ec9de59240cda252ff38
TX 105,S0000019Z,807600,03328428K,,a50f7f43b3cf1a92fe55cdc4804dea7113f19625132a18c8c145c0f51c68a663
TX 106,S0000004Z,788603,03321993X,how is this,9e6572aeec61da58b5030bd739a1f350242622a06fec03aef912d404098f959c
TX 107,S0000021Z,977050,251526162K,another one,6a26434e9d201b6771bf672470373c3d52b667d54870e5aa6504f451ad4b8545
TX 108,S0000037Z,426828,42939155E,another one,e56c677af9cafe0feeefbcf113ba30b5e30845ac7ef70b82f189544b0bc9cbde
TX 109,S0000007Z,812787,01326755W,how is this,465a02c4bce5204f750acd9a9a9f95d6e6dfac8fff3a46a321d72879458f812c
TX 110,S0000022Z,751023,03312135B,,859bf316daba4f0e069758d74d21b45ab94e98a684e8aed3047553ed58342f5b
TX 111,S0000020Z,684292,251656922C,how is this,87d438786740aa258ac4fc35f9978009b31f7defc716ba2853450dc079f6f836
TX 112,S0000028Z,739007,251157723C,,708a1134d30d5bb6c54ffaec8251dc249977587d1e2173b39a91c726cd72a91a
TX 113,S0000004Z,80175,255052709M,,711d5e297558ff3e5fdba5b0217fd89b88e03ff50b8a2a995c588abe9e7d9b56
TX 114,S0000020Z,630994,255152333H,how is this,8e906645ec8a1d976e76d03d8cb049ed96ab74dd2cca89ef3677b7e208250a8c
TX 115,S0000024Z,971337,42939155E,,580a2209f3cbdb53f79eec3b93826c28661521c4cb498db5384387a0a00db832
TX 116,S0000042Z,765004,255722125M,how is this,1694c53e5d81989a7602d43ece18089301a333036453add5c569cff4157b680c
TX 117,S0000005Z,137431,03312135B,how is this,0c4e379b8ca74808011b9fa782b6f2f31d9abd757e5ae5b7e1218855ec3cb321
TX 118,S0000021Z,238651,02996473B,how is this,cf2e140faf615072e0e87c9d24d4582b2df7080a15e61bce65bfafa4e086e4ff
TX 119,S0000008Z,333362,199455588G,how is this,8c540101644d424ef48a2319b7ab21a79b6653aba4a2d29501e213a355c1db7f
TX 120,S0000034Z,380894,02871013E,how is this,c7180e0b153cebefbcb485ed71167af29a521f48d0e4ec602a553d89fff58116
TX 121,S0000042Z,847759,49802055K,how is this,62eac3cd40f9e4f25c0e0745daf8ecf2987ac62f93bb9e3c392a6246938b470f
TX 122,S0000007Z,505234,255722125M,how is this,c885a6639df3de60af18b949c2a0b809384a71172e38c694fad8ed2c264b7f28
TX 123,S0000037Z,74084,251921845R,how is this,5f3e98ed1ef2e1344bd757e0559a62aba1d018284a0c677e68db4396e5f40081
TX 124,S0000039Z,473729,02986926L,another one,6aa24935d5cb5a71e27108e4fab37d815f64f5465201330e2682d4059ffd589a
TX 125,S0000031Z,600486,190655100R,how is this,13cbcd3cd499621471a8711f160c150fe3da3bc6740c91a7d87b51b0b7416705
TX 126,S0000020Z,210629,251416730H,,bde55cf9f655e3faf678c404459a6cf849550e15fdcfc69c7d870517e7028b3c
TX 127,S0000021Z,981321,255813204K,,6bfb666146016d1faa45b8be050efd01a1ca46eb36a1dc0ade66a2043d373936
TX 128,S0000016Z,576924,03166265L,how is this,76161b96c63c9a699f75b6ab906d708e64d21484fd33408b76d9b03c970234b7
TX 129,S0000038Z,292405,02991308E,another one,a5ca3d01d74750e3277a1a950d881bd49b1f99f8e0a251e8c96bfe2ce9c9ddee
TX 130,S0000048Z,409780,01897655M,another one,decb6eab81386ff067201572e7062bba038eb521918775c59eacd8639c6c9b39
TX 131,S0000032Z,173852,02986926L,,9f25517aa21b7a44dcc1a47b3351c5dde63bd60760ce02e6d4f7b7247023fa46
TX 132,S0000001Z,546960,02960391E,how is this,25605ea84bb30d1b1bd881dd74bcaee4d61feb62cbb4d588607d95e224ed2b64
TX 133,S0000012Z,875249,03293827E,,e3b5a4a714e9a45691cb4c71909d44092d179757a03c38a632f929bc7dcf2c77
TX 134,S0000035Z,419787,197851942C,another one,b26e4107d13bb523a3de9eb2267007f84779768bedd8d6cec6bb4715d61bab25
TX 135,S0000040Z,38010,255152333H,,29de14e69eb7c22f2cf27939d74db50279752e43fa71f887b835b52ce27f5f1d
TX 136,S0000006Z,541518,57807155J,how is this,a30b0fa99d0144eec874636a3dbc46036142e879990763961a97d0ef37dd87e7
TX 137,S0000013Z,583003,46281055E,how is this,8450e18f993e1c73ff156bc223fa569015334d7cf874b6fe483f351cbc36775d
TX 138,S0000037Z,953425,251125007R,another one,19ce7efb98ec2744e9474fa16bbf7299fefd7db68931884f4075d63a018a2a23
TX 139,S0000018Z,658688,199455588G,,c6afc3ca60510ea959114fa7b4fa3e943cca862d7dc643a8db5d81e7b9050435
TX 140,S0000016Z,341377,255921113D,,c861873281fd1c7e1e2f619f42926ca7bba54f9fe1575808a9297341c035276c
TX 141,S0000027Z,492447,02871013E,,9ed6040690621b92d05ef5f5de1eb7563504e968dea52dfd8fdcaf186ef34e63
TX 142,S0000005Z,865311,251058254E,,231e2be69a36d987d99ce38d9e508ce94e65735992bb3049a11c48f6267fd4e0
TX 143,S0000040Z,358842,02879120K,how is this,8c68dd0b1bbc8d962c15a7013ebec47341722ddfdf7e57d11927bae433c32218
TX 144,S0000023Z,489310,03506086B,,c713708e2d9c8b820b09995d340665e5864ef15f5c38a4717796f648d18984e4
TX 145,S0000029Z,177055,57807155J,,4ebeae6c467a00bf97fe40c6fd748713567ae2f44fc0f7c409638c723513ded5
TX 146,S0000002Z,407001,03321993X,another one,9921ad60b5804d6493e1c2281cece6286ef90d285a53d783bdd5f3e6bf282b77
TX 147,S0000042Z,273044,32396555J,how is this,96cba076815d1027f8496fd37fbd4ea7e708d824821cc7cbe69c862c8a8e5d2e
TX 148,S0000001Z,583803,251055173W,another one,905609b94658b00da53160e859a5d1384632073e8f2ddf2f776cf98552f64dc0
TX 149,S0000037Z,920717,02871013E,how is this,9989d050ab2abb6b24f5af4a0b96a255254110e359e7b7dcb90cc5fbaf87dd2f
TX 150,S0000046Z,432427,02879120K,another one,27b9cf99ce55c1256d565f4b6597655768e8f5e8eb1c4ff741ef8d8cf3635c5c
TX 151,S0000023Z,690713,42939155E,,cd1458dbd24cfcd92583a45a03a48dbfef4442b1f5a3a86ac03434a456503f68
TX 152,S0000015Z,166188,199556151G,how is this,41b1a322c65cda86a600bf98d0dfe40ce5475a0d41554711deffe9edf8a87726
TX 153,S0000004Z,177168,199455588G,how is this,27c9faf5e940138decc40ef9df5b729dac88519114fd9165cdae36856fb9970e
TX 154,S0000029Z,539307,03151049A,,748b21bcde8f4d4bc5fbc71eece1eea59fbb1b68932a46c6828f685f84c834ae
TX 155,S0000039Z,203838,255921113D,,849e41a92d4f603b41f2c756cc43d6d925e25d94a9f94b6367be9104fb8ff60f
TX 156,S0000038Z,210119,255812206R,how is this,b02291401335c22c44e29acd1c465cdb1895fa94e573bf83835fdf387e007131
TX 157,S0000040Z,603171,03575224W,how is this,b5cb50b0777efa8477eb9c2cfcd5ff09429839f6842584c3f1766fd182f6b63a
TX 158,S0000024Z,655947,03171778W,,ebb28d9046c69a9dd63c865129b134de06ebfb5d3eccec88d88de4e001c41332
TX 159,S0000033Z,344755,03575224W,how is this,c0bd13d1a1b552cd1b0c06075fa9933b46a96c26426aa232978fb627918f8195
TX 160,S0000048Z,705397,26679755L,another one,d33d8fc5603aca08d23b17a4a95c3d231a9defa9871dca29f859abbb8b62eec0
TX 161,S0000005Z,181729,03166265L,how is this,1e3bee295d4c39b73bdaaa6a13156c4924571d6dfcca96dce9fa22ba8caac1ec
TX 162,S0000045Z,538530,57082555E,another one,973e496b0286993236bd1dd6e30a06e7d6c1aa07e65cd072e548740f116e4757
TX 163,S0000045Z,460344,251718883H,how is this,1423708f241865b597c2f070ddef0e50bdab221cb2fb7c5a31e07b8e2bb3f40f
TX 164,S0000001Z,318090,54941755B,,d09d38d9f9cfc4379a9de7d5103ad5f013fe5d599818be4126e67e57066bd1be
TX 165,S0000029Z,284600,251323312W,another one,2463463203729defd9a5b61552066a49b07a0d7758c1231db98f56bedd486207
TX 166,S0000020Z,744033,03328428K,how is this,981eb68cdce05b4ac57ec90abdc0363abfd94e6e89021df02f3793a607537f79
TX 167,S0000038Z,122123,02986926L,another one,eb75757afb48494440a64f91d83ef11f95c50cdf78c7932993e23bbf55ee12d1
TX 168,S0000006Z,94069,03154538X,how is this,92c81ae8c730c0cda1fbf572db41028ffcda752425ae4e9651a1b6007241a94f
TX 169,S0000003Z,416983,251416730H,,4b6b18367edf9203f69246101e66bb0d59a542fd8d674c8694ec6600bcc572cc
TX 170,S0000000Z,135889,03558932K,how is this,a14e8130938562d9f345a95aefd1df3dc726d8153cc8576839f9be7738bba83c
TX 171,S0000045Z,319189,T17LL5546H,another one,221935f45a06eeef20d8dd48cb894a6ce588dcf7e50d5326ecabff30bc0ba5b3
TX 172,S0000025Z,40307,03151049A,,3b9d5eec5366e4f5604ef5e51264154f17a4f5a94a1cc52d4b2168bbf2ca97aa
TX 173,S0000046Z,995112,02879120K,how is this,a4a7f59c5130efa6c139129bf8266fa606beb2c4d3d7416ad6cca68b3f3e1e2a
TX 174,S0000039Z,826256,03312135B,how is this,3c18329db202c55172cad815bf844e8cdb946758f362ff9ef7c8de1226fb2ee1
TX 175,S0000016Z,973514,255859881D,,5f3e230fa46ae3fd5327628c1adf682daf975546e736aa971ccb8ca7c5b4f78f
TX 176,S0000019Z,673365,54941755B,,1c30cc5c40c9d135281b44b4c3ba916c4ee0552093689db81e5ac28cf52027bd
TX 177,S0000040Z,981684,198350686E,another one,99cf91dd559a86a6b0839a21a02b6b20191778d3816e2f60928b06ddd717e2c6
TX 178,S0000033Z,972332,251041107E,another one,58191e5b1dd42a66e8d5ff68efd2a9a3840fc8e90eb2a3edfb6784db417f6805
TX 179,S0000026Z,762958,255152333H,how is this,8de25f5ec37eb89cdf839cbf0ac37a039e2c88f383c41c21afc5f30211a2fab7
TX 180,S0000004Z,253346,251923769W,how is this,d5f5854c6b19060b5e0c723ec9b186e2730357511cc4fdf4c62b6cd9f81a18ae
TX 181,S0000030Z,413156,255355835D,,b6eb4deae13a572d763dab5f879add3ccfac79b3b2551a2c4e2c23e606c8fdaa
TX 182,S0000031Z,269432,255052709M,,4521dc99d8f1f4bd6492e3a1f51eabbe1587d772f2bdc57b21a726e0c4ec04ac
TX 183,S0000000Z,471757,44636355J,another one,280e0db370be425fa5b6fd7e75ef757fb5557b405b050f30fd727a80fd5c1365
TX 184,S0000004Z,271608,251155458M,,8ed8f8e9f8627486eb6b021eeac142761cece434f7d44092dae1eae26be0b52f
TX 185,S0000049Z,825855,255152333H,another one,dcd6beac4b44948618fee17325bc26b340a2b41cc0ff66cccc51b22ce676f1af
TX 186,S0000033Z,429216,197851942C,how is this,acfd95ded6c5d97a409b1a36e041fd5e0b87c53f7c935253b6bb505270f16748
TX 187,S0000000Z,225886,49802055K,another one,b0a75f138936ff43159e93af0b510df895dbf51713332d2b69a96537efedd6f8
TX 188,S0000048Z,565427,57082555E,how is this,18e145579162ff432c9b0274f830d26cd5080b51cd68b3fa08b72b036e15eb57
TX 189,S0000026Z,24153,255655587W,another one,75dbbe8527c740ef803c9158ba33c4a383ac3856788573848698701326eabbe7
TX 190,S0000026Z,526989,251834260M,,4d6909d989c30f9d2f471286a6554c62ec10afd36f5bb14f515e574b911165b6
TX 191,S0000005Z,87968,03291869W,,10971da58905cc612a8f78070e045fc653e94b497fa3a399b9e0e3451df578fc
TX 192,S0000030Z,893668,57807155J,,13b64d2378af0980996af35c8ab01e656dc25b20418ce7362c392c6ab1e994a5
TX 193,S0000035Z,406758,255655587W,,0f2d127779cd812eee2d58465dd0d73b87adc7835b61a4d9e171e2a23bbfbb84
TX 194,S0000021Z,876696,255711625K,another one,875d6d04f9e248dea872d6eaf9e8ebd381518fcfa99ceb64ace978021de280d4
TX 195,S0000003Z,290535,03112086J,how is this,ba586fb507c0f020182c143288119ce6200b02cdcd9ee68a06b9c2f616734827
TX 196,S0000046Z,289325,255958748C,another one,1eb8fb3d408822373336f8447d96aa31a6f466fe2b1a505e42c7fe59c6e1f901
TX 197,S0000041Z,974843,03312135B,another one,1c085b40a0b763545338cd8d8a0b15a121357e69ffc160d10125937412fb253c
TX 198,S0000038Z,663859,190655100R,,9be6286981f1c6409b09ed130a458739f7ed88b2ea6930fe17e72fa01f78523f
TX 199,S0000016Z,869020,03154538X,,ede0ef4aed45c72664c1136d7ab3acb640c91b3d8f98c288815b4ec445877dfe
TX 200,S0000007Z,262031,190655100R,how is this,a331eb9914893d4ac6a11ea05daff742b41e2d2baa8963e862199481e963b3fd
TX 201,S0000000Z,535301,03328428K,how is this,822862bb557fe80b82fa8b4fdead965a7eb47a1560425e0b790343a0820ecb44
TX 202,S0000044Z,232544,251041107E,another one,8ebd80f1199976eaa8258ac149a2e5a00a6dfcb3522842eda80932c9284358c8
TX 203,S0000015Z,309792,255252130E,how is this,40278f7a5096622bffdbe31e826a07875bac7282d3c761ce30ec747848ee3908
TX 204,S0000020Z,869352,25703355L,another one,f9fee1481944ab025df53ecf7d7300c39fcdded8c49ba874543534e27281764f
TX 205,S0000009Z,948506,03575224W,how is this,5c28d07686c014c04f2bfb10d75187b2db73447f1acf997cf1c9cec36e9c78a5
TX 206,S0000044Z,933766,02934765A,another one,9873fcafa093a3040d5908159f9ac6cebfba0ac3d702bf7d1a1e861247290937
TX 207,S0000031Z,751891,57082555E,how is this,ce4f7f7de9078bd30c78425aa003f96d6c84c483f9cda05d50fd92113b95e513
TX 208,S0000041Z,353425,44636355J,how is this,ed55e2507e56b0b683ee43d2d555d33ddc8bfbb7318a106d88efbf4ce42fdd14
TX 209,S0000041Z,557001,46281055E,,3618a7854e187382988d6e31b50c787365f1b419eb459d43d504ae66e419f76f
TX 210,S0000040Z,547839,02844776M,another one,72a354bca218204cc1f74a6e907062cf347f085cd812f1948f716f96a457dac5
TX 211,S0000043Z,591482,251058254E,how is this,8233ed024b7ea2eddaae33380b2262d6f18cc9fb583d6efc90b1c78785ea8466
